customer_id,customer_name,email,city,state_or_region,country,signup_date,membership_tier
AMA-C2733,Mohammed Sharma,mohammed.sharma36@example.com,Denver,CO,US,21-Sep-2021,Non-Prime
AMA-C6422,Sara Sharma,sara.sharma158@example.com,Seattle,WA,US,2022-05-10,Prime Student
AMA-C7679,Maria Johnson,maria.johnson774@example.com,CHICAGO,IL,US,14-Dec-2022,Prime
AMA-C10798,Maria Brown,maria.brown770@example.com,Boston,MA,US,2024-07-13,
AMA-C9666,Olivia Johnson,olivia.johnson634@example.com,Chicago,IL,US,2023-06-25,Prime
AMA-C5282,Carlos Anderson,carlos.anderson628@example.com,Los Angeles,CA,US,03/14/2023,Prime
AMA-C10666,anna müller,anna.müller12@example.com,Chicago,IL,US,08/14/2022,Prime Student
AMA-C4324,olivia sharma,olivia.sharma185@example.com,Atlanta,GA,US,2022-09-30,Non-Prime
AMA-C2352,Olivia Tanaka,olivia.tanaka329@example.com,Chicago,IL,US,25-Apr-2021,
AMA-C7562, Chen Garcia ,chen.garcia228@example.com,Boston,MA,US,2021-01-30,Prime
AMA-C10880, Vivaan Smith ,vivaan.smith922@example.com,Chicago,IL,US,2025-06-20,Non-Prime
AMA-C8996,Maria Lee,maria.lee203@example.com,Los Angeles,CA,US,10/19/2024,Prime Student
AMA-C9982,Anna Martin,anna.martin632@example.com,Los Angeles,CA,US,2023-04-02,Prime Student
AMA-C1654,WEI YAMADA,wei.yamada343@example.com,Los Angeles,CA,US,02/11/2024,Non-Prime
AMA-C7447,Ava Wilson,ava.wilson2@example.com,Miami,FL,US,2021-04-26,Non-Prime
AMA-C9920,zoe kumar,zoe.kumar472@example.com,Miami,FL,US,05/02/2022,Prime
AMA-C7746, Emma Johnson ,emma.johnson777@example.com,Phoenix,AZ,US,2023-09-04,
AMA-C5833,Noah Patel,noah.patel93@example.com,Atlanta,GA,US,06/29/2021,Prime
AMA-C5147,Noah Kumar,noah.kumar184@example.com,Miami,FL,US,06/29/2023,
AMA-C6694,Chen Khan,chen.khan100@example.com,Atlanta,GA,US,16-Mar-2023,Prime
AMA-C4425,FATIMA SMITH,fatima.smith307@example.com,Houston,TX,US,03/11/2023,Prime Student
AMA-C6337,Aarav Khan,aarav.khan788@example.com,Phoenix,AZ,US,12/11/2021,Non-Prime
AMA-C3375,noah chen,noah.chen249@example.com,New York,NY,US,10/15/2021,Non-Prime
AMA-C6110,Noah Davis,noah.davis399@example.com,Chicago,IL,US,2025-10-04,Prime
AMA-C6767,Aditya Chen,aditya.chen810@example.com,Miami,FL,US,08/16/2024,Prime
AMA-C8371,Ken Davis,ken.davis678@example.com,New York,NY,US,06/15/2021,Non-Prime
AMA-C3899,Ken Wang,ken.wang55@example.com,Chicago,IL,US,20-Feb-2024,Prime Student
AMA-C6474,sofia martin,sofia.martin197@example.com,Los Angeles,CA,US,19-Oct-2024,Non-Prime
AMA-C1997,Mohammed Johnson,mohammed.johnson612@example.com,Phoenix,AZ,US,31-Dec-2025,Non-Prime
AMA-C5554,Li Wilson,li.wilson890@example.com,Denver,CO,US,2022-08-13,Prime
AMA-C7035,Michael Garcia,michael.garcia597@example.com,Atlanta,GA,US,18-Jul-2023,Non-Prime
AMA-C6636,Priya Khan,priya.khan16@example.com,BOSTON,MA,US,03/27/2021,
AMA-C1622,Aarav Sharma,aarav.sharma57@example.com,Los Angeles,CA,US,2025-09-21,Non-Prime
AMA-C10468,Priya Davis,priya.davis300@example.com,Atlanta,GA,US,09-Jan-2022,Prime
AMA-C6918,Yuki Suzuki,yuki.suzuki442@example.com,Miami,FL,US,21-Apr-2021,Non-Prime
AMA-C4752,Anna Wang,,Miami,FL,US,05-Sep-2025,Non-Prime
AMA-C6758,Aditya Sharma,aditya.sharma899@example.com,Atlanta,GA,US,07/17/2025,Non-Prime
AMA-C1357,Sofia Singh,sofia.singh735@example.com,Los Angeles,CA,US,2024-08-26,Non-Prime
AMA-C5902,Aarav Lee,,Houston,TX,US,2023-06-08,Non-Prime
AMA-C8897,Ben Johnson,ben.johnson849@example.com,Denver,CO,US,2025-09-03,
AMA-C3220,DAVID MARTIN,david.martin379@example.com,Denver,CO,US,2023-06-14,Non-Prime
AMA-C3023,Yuki Kim,yuki.kim538@example.com,Houston,TX,US,05/20/2021,Non-Prime
AMA-C7727,Noah Davis,noah.davis886@example.com,Houston,TX,US,2023-07-24,Prime Student
AMA-C1157,Aarav Kim,aarav.kim713@example.com,Seattle,WA,US,17-Aug-2023,Non-Prime
AMA-C2965,Sara Smith,,Atlanta,GA,US,17-Jul-2022,Prime
AMA-C7646,Sara Wilson,sara.wilson654@example.com,Denver,CO,US,2022-08-11,
AMA-C7261,Ben Anderson,ben.anderson604@example.com,Chicago,IL,US,02-Oct-2024,Prime
AMA-C9008,Olivia Rossi,olivia.rossi270@example.com,Miami,FL,US,11-Jan-2023,Prime
AMA-C6310,FATIMA KUMAR,fatima.kumar53@example.com,Miami,FL,US,27-Aug-2021,Prime
AMA-C5116, David Singh ,david.singh197@example.com,Boston,MA,US,05/28/2021,Prime Student
AMA-C1261,sofia wang,sofia.wang858@example.com,Atlanta,GA,US,27-Jan-2023,Prime
AMA-C8083, Priya Johnson ,priya.johnson111@example.com,Phoenix,AZ,US,05/08/2023,Prime
AMA-C4587,Michael Brown,,Denver,CO,US,2024-06-19,Non-Prime
AMA-C7977,Sofia Davis,sofia.davis999@example.com,Houston,TX,US,2023-10-18,Prime
AMA-C4685,Maria Suzuki,maria.suzuki924@example.com,New York,NY,US,04/14/2021,Prime Student
AMA-C7455,Carlos Wang,carlos.wang905@example.com,boston,MA,US,05-Aug-2022,Prime
AMA-C7313,Carlos Kumar,carlos.kumar591@example.com,Boston,MA,US,2025-05-01,Prime
AMA-C5771,YUKI TANAKA,yuki.tanaka20@example.com,New York,NY,US,11/19/2023,Non-Prime
AMA-C4244,John Patel,john.patel869@example.com,Miami,FL,US,29-Nov-2021,Non-Prime
AMA-C7843,Sara Tanaka,sara.tanaka259@example.com,Atlanta,GA,US,10/02/2021,Prime Student
AMA-C9660,David Garcia,david.garcia871@example.com,Atlanta,GA,US,01-Feb-2023,Non-Prime
AMA-C6703,CARLOS MÜLLER,carlos.müller829@example.com,New York,NY,US,2022-12-27,Prime Student
AMA-C2741,ken müller,ken.müller690@example.com,CHICAGO,IL,US,11/21/2024,
AMA-C8974,Michael Sharma,michael.sharma650@example.com,Seattle,WA,US,2022-01-26,Non-Prime
AMA-C1000,Fatima Wang,,Miami,FL,US,2024-08-26,
AMA-C9681,Noah Tanaka,noah.tanaka714@example.com,HOUSTON,TX,US,13-Oct-2025,Prime Student
AMA-C4423,Vivaan Wang,vivaan.wang999@example.com,Boston,MA,US,10-Jul-2023,Prime
AMA-C2453,Mohammed Brown,mohammed.brown116@example.com,Seattle,WA,US,11-May-2024,Prime Student
AMA-C10706,Fatima Müller,fatima.müller146@example.com,Los Angeles,CA,US,03/27/2021,Prime
AMA-C4856,OLIVIA BROWN,olivia.brown396 at example.com,Chicago,IL,US,01-Aug-2022,Non-Prime
AMA-C2603,Yuki Patel,yuki.patel764@example.com,Chicago,IL,US,23-Apr-2024,Prime Student
AMA-C8154,Rahul Singh,rahul.singh514@example.com,Houston,TX,US,28-Feb-2021,Non-Prime
AMA-C1205,Ben Müller,ben.müller587@example.com,Chicago,IL,US,10/01/2024,Prime
AMA-C10434,Zoe Yamada,zoe.yamada600@example.com,Seattle,WA,US,08-Feb-2022,Non-Prime
AMA-C2080,WEI GARCIA,wei.garcia541@example.com,Seattle,WA,US,11-Jan-2021,Prime
AMA-C1820,Priya Chen,priya.chen998@example.com,Boston,MA,US,29-Aug-2024,Prime
AMA-C1587,Anna Johnson,anna.johnson503@example.com,Denver,CO,US,11/28/2024,Prime
AMA-C1198,John Suzuki,john.suzuki739@example.com,Miami,FL,US,09/19/2025,Non-Prime
AMA-C6447,Noah Wilson,noah.wilson377 at example.com,Chicago,IL,US,12/19/2023,Non-Prime
AMA-C5944,Sara Khan,sara.khan293@example.com,Seattle,WA,US,05/27/2025,Prime
AMA-C8404,Rahul Lee,rahul.lee423@example.com,Phoenix,AZ,US,08/21/2024,
AMA-C5370, Mohammed Chen ,mohammed.chen635@example.com,Atlanta,GA,US,04/05/2025,Non-Prime
AMA-C8855,Mohammed Kim,mohammed.kim814@example.com,Phoenix,AZ,US,02-Jun-2021,Prime Student
AMA-C4605,Maria Anderson,maria.anderson252@example.com,Denver,CO,US,02/17/2024,Non-Prime
AMA-C5971,RAHUL JOHNSON,,Denver,CO,US,05/06/2024,Prime
AMA-C8677,Anna Johnson,anna.johnson951 at example.com,New York,NY,US,12/12/2024,Prime Student
AMA-C7600,Rahul Sharma,,Chicago,IL,US,28-May-2025,Prime
AMA-C4414,Mohammed Kim,mohammed.kim114@example.com,BOSTON,MA,US,23-Aug-2022,Non-Prime
AMA-C9610,Noah Martin,noah.martin203@example.com,Atlanta,GA,US,23-May-2022,Prime
AMA-C8209,Vivaan Yamada,vivaan.yamada327@example.com,Denver,CO,US,01/29/2021,Non-Prime
AMA-C9472,Mohammed Sharma,mohammed.sharma51@example.com,Seattle,WA,US,2025-11-21,Prime Student
AMA-C7729,YUKI SHARMA,yuki.sharma963@example.com,Houston,TX,US,07/11/2022,Prime Student
AMA-C2057,chen martin,chen.martin331@example.com,Phoenix,AZ,US,19-Dec-2025,Prime
AMA-C6159,RAHUL SINGH,rahul.singh505@example.com,Miami,FL,US,12/18/2024,Prime
AMA-C3691, Mohammed Anderson ,mohammed.anderson672 at example.com,Los Angeles,CA,US,01/12/2023,Prime
AMA-C7965, Anna Rossi ,anna.rossi83@example.com,New York,NY,US,03/20/2021,Prime
AMA-C8599,Maria Tanaka,,Chicago,IL,US,02/23/2021,Prime Student
AMA-C1501,james patel,james.patel726@example.com,New York,NY,US,03-Nov-2022,Non-Prime
AMA-C7090,James Martin,james.martin268@example.com,Seattle,WA,US,20-Sep-2023,Prime Student
AMA-C10739,John Johnson,john.johnson927@example.com,New York,NY,US,2025-03-09,Prime
AMA-C8479,Wei Sharma,wei.sharma379@example.com,Boston,MA,US,11-May-2023,Prime
AMA-C8239,Zoe Sharma,zoe.sharma384@example.com,Seattle,WA,US,2023-08-14,Prime Student
AMA-C7689,Zoe Smith,zoe.smith734@example.com,Chicago,IL,US,12/02/2024,Prime
AMA-C5541,Maria Lee,maria.lee837@example.com,New York,NY,US,01/08/2021,Prime
AMA-C4530,LIAM SHARMA,liam.sharma442@example.com,denver,CO,US,2023-10-30,Non-Prime
AMA-C4297,aditya davis,aditya.davis180@example.com,Miami,FL,US,2023-11-07,Non-Prime
AMA-C8044,Fatima Müller,fatima.müller59@example.com,New York,NY,US,01/13/2024,Prime
AMA-C2006,John Rossi,john.rossi455@example.com,Denver,CO,US,27-Jun-2023,Prime
AMA-C10447,Sara Brown,sara.brown254@example.com,Houston,TX,US,2024-02-21,Prime
AMA-C9773,Olivia Müller,olivia.müller592@example.com,Los Angeles,CA,US,2021-04-28,Prime
AMA-C9202,Ava Müller,ava.müller323@example.com,Miami,FL,US,11/22/2022,Prime Student
AMA-C4263,Olivia Khan,olivia.khan383@example.com,Seattle,WA,US,2024-09-25,Prime
AMA-C8733,Ken Sharma,ken.sharma17@example.com,New York,NY,US,10-Sep-2022,Prime
AMA-C10979,Liam Tanaka,liam.tanaka98@example.com,Houston,TX,US,2022-03-16,Non-Prime
AMA-C2790,Vivaan Yamada,,Denver,CO,US,2023-03-10,Prime Student
AMA-C9290, Fatima Rossi ,fatima.rossi635@example.com,New York,NY,US,2024-01-26,Prime
AMA-C4916,Fatima Garcia,fatima.garcia323@example.com,Boston,MA,US,2025-10-31,Non-Prime
AMA-C6197,Chen Wilson,chen.wilson551@example.com,Miami,FL,US,08/12/2022,Prime
AMA-C7758,Emma Patel,emma.patel126@example.com,Atlanta,GA,US,12/27/2023,
AMA-C5334,Li Lee,li.lee800@example.com,Boston,MA,US,2022-02-13,Prime Student
AMA-C5565,Yuki Khan,yuki.khan476@example.com,Atlanta,GA,US,05-May-2022,Prime
AMA-C4343,David Müller,david.müller242@example.com,Denver,CO,US,21-May-2022,Prime Student
AMA-C4717,rahul müller,,Los Angeles,CA,US,2024-04-27,Prime Student
AMA-C3801,CHEN ROSSI,chen.rossi931@example.com,Boston,MA,US,2025-05-01,Prime Student
AMA-C3053,Yuki Singh,yuki.singh807@example.com,Houston,TX,US,2021-02-17,Non-Prime
AMA-C2435,David Tanaka,david.tanaka124@example.com,Atlanta,GA,US,2022-02-05,Non-Prime
AMA-C7920,Priya Suzuki,priya.suzuki42@example.com,Houston,TX,US,27-Aug-2024,Prime Student
AMA-C6540,Wei Lee,wei.lee155@example.com,Seattle,WA,US,28-Sep-2024,Prime
AMA-C3807,WEI ANDERSON,wei.anderson995@example.com,Atlanta,GA,US,01/16/2025,Prime Student
AMA-C6502,Ava Brown,ava.brown480@example.com,Chicago,IL,US,26-Mar-2023,Prime Student
AMA-C1420,li rossi,li.rossi262@example.com,Chicago,IL,US,2021-07-24,Prime Student
AMA-C8651,Yuki Tanaka,yuki.tanaka389 at example.com,Boston,MA,US,2024-05-11,Non-Prime
AMA-C8221,Liam Garcia,liam.garcia326@example.com,boston,MA,US,10/29/2021,Non-Prime
AMA-C7289,Mohammed Brown,mohammed.brown633@example.com,Houston,TX,US,05-Dec-2022,Prime Student
AMA-C7678,Ben Anderson,ben.anderson336@example.com,Boston,MA,US,04-Nov-2021,Prime Student
AMA-C5958,Mohammed Lee,mohammed.lee759@example.com,Phoenix,AZ,US,10/14/2024,
AMA-C6417,Ken Yamada,ken.yamada521@example.com,New York,NY,US,03-Nov-2025,Prime
AMA-C2153,carlos davis,carlos.davis515@example.com,Denver,CO,US,13-Mar-2023,Prime
AMA-C3036,John Tanaka,john.tanaka432@example.com,NEW YORK,NY,US,22-Mar-2024,Prime
AMA-C8068,James Wang,james.wang198@example.com,Seattle,WA,US,29-Jan-2023,Non-Prime
AMA-C7909,Noah Müller,noah.müller724@example.com,Phoenix,AZ,US,03-Oct-2024,Prime
AMA-C4643,Mohammed Kumar,mohammed.kumar559@example.com,Denver,CO,US,02-Jan-2024,Non-Prime
AMA-C6278,Maria Müller,maria.müller665@example.com,boston,MA,US,20-Jan-2024,Prime
AMA-C3014,Ava Suzuki,ava.suzuki346@example.com,Atlanta,GA,US,01/22/2023,Non-Prime
AMA-C3093,Ben Patel,ben.patel188@example.com,Denver,CO,US,2025-05-08,Non-Prime
AMA-C1077,John Lee,john.lee954@example.com,Los Angeles,CA,US,2021-06-12,Prime Student
AMA-C5126,Aarav Smith,aarav.smith802@example.com,Chicago,IL,US,2023-09-06,Non-Prime
AMA-C4830,priya müller,priya.müller395@example.com,Chicago,IL,US,06/19/2025,Prime Student
AMA-C10678,Fatima Tanaka,fatima.tanaka497 at example.com,atlanta,GA,US,16-May-2025,Prime Student
AMA-C9368,Aditya Brown,aditya.brown146@example.com,Phoenix,AZ,US,11/19/2021,Non-Prime
AMA-C2830,Sofia Sharma,sofia.sharma60@example.com,Atlanta,GA,US,01-May-2022,Non-Prime
AMA-C1761,Emma Müller,,Chicago,IL,US,2021-10-28,Non-Prime
AMA-C2221,Maria Lee,maria.lee860@example.com,Los Angeles,CA,US,2025-02-19,Prime
AMA-C2237,Priya Wang,priya.wang417@example.com,Phoenix,AZ,US,2024-03-21,Prime
AMA-C8213,KEN WANG,ken.wang544@example.com,New York,NY,US,01-Feb-2025,Prime
AMA-C5297,noah smith,noah.smith20@example.com,Denver,CO,US,2023-10-17,Non-Prime
AMA-C1941,Maria Lee,maria.lee94@example.com,Denver,CO,US,07/01/2025,Prime Student
AMA-C2381,Yuki Lee,yuki.lee311@example.com,Chicago,IL,US,05-Oct-2024,Prime
AMA-C6443,Vivaan Rossi,,Houston,TX,US,06-Jun-2021,Non-Prime
AMA-C1964,Carlos Smith,carlos.smith102@example.com,Los Angeles,CA,US,05-May-2024,Non-Prime
AMA-C10407,Olivia Singh,olivia.singh760@example.com,Miami,FL,US,11/27/2025,Non-Prime
AMA-C6179,BEN LEE,,New York,NY,US,08/20/2025,Prime
AMA-C9991,Yuki Garcia,yuki.garcia251@example.com,Seattle,WA,US,15-Oct-2023,Prime
AMA-C8247,yuki anderson,yuki.anderson168@example.com,Phoenix,AZ,US,2021-04-28,Non-Prime
AMA-C1345,Aarav Chen,aarav.chen673@example.com,Houston,TX,US,08-Nov-2021,Non-Prime
AMA-C2101,Ava Suzuki,ava.suzuki605@example.com,Denver,CO,US,2023-06-24,Prime
AMA-C7659,ADITYA KIM,aditya.kim186 at example.com,Chicago,IL,US,2021-02-16,Prime
AMA-C6571, Anna Tanaka ,,Houston,TX,US,04-Jan-2023,Non-Prime
AMA-C2112,Chen Tanaka,chen.tanaka800@example.com,Boston,MA,US,14-May-2023,Prime
AMA-C9720,Ava Wang,ava.wang649@example.com,Seattle,WA,US,2021-12-01,Prime
AMA-C5747,aarav anderson,aarav.anderson220@example.com,Los Angeles,CA,US,2023-07-28,Prime
AMA-C6664,Anna Patel,,Los Angeles,CA,US,2022-12-14,Prime
AMA-C5631,Ben Sharma,ben.sharma943@example.com,Boston,MA,US,04/12/2021,Prime Student
AMA-C9496,Olivia Kim,olivia.kim751@example.com,Chicago,IL,US,10/30/2024,Prime Student
AMA-C2462,Chen Kumar,chen.kumar315@example.com,Phoenix,AZ,US,13-Nov-2022,Non-Prime
AMA-C4070,VIVAAN WANG,vivaan.wang300@example.com,Houston,TX,US,2022-07-06,Prime
AMA-C8436,Maria Wang,maria.wang666@example.com,Denver,CO,US,05/01/2022,Non-Prime
AMA-C2404,Aarav Suzuki,aarav.suzuki144@example.com,Los Angeles,CA,US,02/17/2021,Prime
AMA-C2584,Noah Singh,noah.singh498@example.com,Denver,CO,US,01/12/2021,Prime Student
AMA-C4091,olivia lee,olivia.lee143@example.com,Chicago,IL,US,29-Oct-2022,Prime Student
AMA-C10532,LI ROSSI,li.rossi927@example.com,New York,NY,US,2023-12-29,Prime
AMA-C8582,Maria Garcia,maria.garcia981@example.com,New York,NY,US,01/08/2021,Non-Prime
AMA-C9257,SOFIA CHEN,sofia.chen79@example.com,Los Angeles,CA,US,27-Aug-2022,Prime Student
AMA-C1532,zoe patel,zoe.patel245@example.com,Denver,CO,US,10/28/2023,Prime
AMA-C5976,Zoe Chen,zoe.chen986@example.com,Los Angeles,CA,US,05/14/2021,Non-Prime
AMA-C1493,Ben Tanaka,ben.tanaka646@example.com,Seattle,WA,US,09-Nov-2023,Non-Prime
AMA-C3411,James Rossi,james.rossi237@example.com,Miami,FL,US,13-Dec-2025,Prime
AMA-C1965,Priya Martin,priya.martin893@example.com,Los Angeles,CA,US,12-Jul-2023,Prime Student
AMA-C3591,Chen Chen,chen.chen698@example.com,ATLANTA,GA,US,25-Sep-2023,Non-Prime
AMA-C8485,Chen Lee,chen.lee439@example.com,Chicago,IL,US,26-May-2023,Prime Student
AMA-C10802,Ava Brown,ava.brown724@example.com,Seattle,WA,US,15-Jan-2022,Prime Student
AMA-C9064, Chen Yamada ,chen.yamada260@example.com,Denver,CO,US,08/02/2024,Prime Student
AMA-C4996,Anna Wilson,anna.wilson373@example.com,Denver,CO,US,11/26/2023,Non-Prime
AMA-C2292,CHEN KIM,chen.kim794@example.com,Chicago,IL,US,10/08/2025,Prime
AMA-C1849, Aditya Müller ,aditya.müller540@example.com,Boston,MA,US,26-Sep-2024,
AMA-C10569,Li Patel,li.patel333@example.com,Houston,TX,US,2022-09-18,Prime Student
AMA-C4786,fatima yamada,,MIAMI,FL,US,10/14/2022,Prime
AMA-C10593,Yuki Yamada,,Seattle,WA,US,11-Feb-2022,Prime Student
AMA-C5889,Maria Johnson,maria.johnson837@example.com,Seattle,WA,US,2023-02-25,Non-Prime
AMA-C8081,Rahul Kumar,rahul.kumar516@example.com,Chicago,IL,US,06/26/2021,Prime
AMA-C8348,Sara Sharma,,Miami,FL,US,05/10/2022,Prime
AMA-C3150, Sara Garcia ,sara.garcia47@example.com,Houston,TX,US,05/07/2021,Prime Student
AMA-C5161,Mohammed Khan,mohammed.khan452@example.com,New York,NY,US,02/07/2025,Non-Prime
AMA-C10163,Priya Sharma,priya.sharma851@example.com,Boston,MA,US,2023-08-06,Non-Prime
AMA-C7989,MICHAEL KHAN,michael.khan615 at example.com,Seattle,WA,US,02/01/2022,Non-Prime
AMA-C4505,Chen Khan,chen.khan856@example.com,Chicago,IL,US,06/12/2024,Prime Student
AMA-C2388,Ken Rossi,ken.rossi681@example.com,Miami,FL,US,06/17/2021,Prime
AMA-C2961,Ben Wang,ben.wang288@example.com,Los Angeles,CA,US,04-Feb-2022,Non-Prime
AMA-C6365,VIVAAN SHARMA,,New York,NY,US,20-Feb-2024,Prime Student
AMA-C8543,David Khan,david.khan9@example.com,Denver,CO,US,15-Mar-2025,Prime
AMA-C6565,noah davis,noah.davis368@example.com,Seattle,WA,US,11/07/2023,Prime Student
AMA-C1714,Zoe Müller,zoe.müller573@example.com,Seattle,WA,US,15-Sep-2022,Prime
AMA-C4810,David Tanaka,david.tanaka724@example.com,Miami,FL,US,29-Dec-2023,Prime
AMA-C6800,Priya Singh,priya.singh13 at example.com,new york,NY,US,26-Mar-2023,Prime Student
AMA-C7514,Ken Müller,ken.müller563@example.com,Atlanta,GA,US,26-Jul-2023,
AMA-C8640,Ava Patel,ava.patel534@example.com,denver,CO,US,08/18/2021,Non-Prime
AMA-C8062,Zoe Khan,zoe.khan454 at example.com,Phoenix,AZ,US,2025-08-11,Prime Student
